accession,name,description,Parent study,Study Disease/Focus,Study Design,Study Markerset,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs002585.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): AICORE-kids","This work is directed at characterizing pediatric COVID-19 and stratifying incoming patients by projected (future) disease severity. Such stratification has several implications: immediately improving treatment planning, and as disease mechanistic   regulatory milestones intended to conform with the Emergency Use Authorization (EUA) programs in effect for SARS-CoV-2 diagnostics. Note for data in RADx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002525.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): SF-RAD:    Development and Proof-of-Concept Implementation of the South Florida    Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure","The University of Miami (UM), with three primary campuses in Miami, Florida, is geographically spread within one of the worst current COVID-19 hotbeds. UM has deployed an elaborate human surveillance   strategies. Working closely with the RADx-rad Data Coordination Center (DCC), this application (SF-RAD) will develop and implement data standards and","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002782.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): NIEHS    Diagnostic-Prognostic RNAseq","Infectious disease outbreaks like Coronavirus Disease 2019 (COVID-19) can overwhelm healthcare systems when screening tools are scarce or lacking. In the face of an ongoing COVID-19 pandemic and with single-plex  , long queue times, backlogs in COVID-19 diagnoses, and delayed access to specialized treatment for COVID-19 patients. The goal of this RADx funded project","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002679.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater    Detection of COVID-19","When faced with a pandemic such as SARS-Coronavirus-2 (SAR-CoV-2), the virus responsible for COVID-19, timely risk assessment and action are required to prevent public health impacts to entire communities. Because   existing and emerging variants from wastewater, and 3) design platforms for communicating wastewater variant results to the public. Note for data in RADx","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002600.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Portable GC    Detector for COVID Diagnostics","The data herein combines GC-MS and GC-DMS analysis of exhaled breath vapor compounds. The intent of this study is to develop a portable GC-DMS system to diagnose SARS-CoV-2 infections from  , weight, symptoms at time of sampling, etc., was also collected. Note for data in RADx: Instructions for requesting individual-level data are available on","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002603.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Diagnosis of    MIS-C in Febrile Children","The recent emergence of SARS-CoV2 and resultant pandemic of COVID-19 disease has overwhelmed global health systems and led to over 200,000 American deaths to date. While initial reports suggested that   diagnostic strategy to distinguish children with MIS-C from children with other causes of fever. Note for data in RADx: Instructions for requesting individual","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002685.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): DNA Star    SAS-CoV-2 Rapid Test","Automated, rapid diagnostics with little sample collection and preparation are needed to identify and trace affected persons in times when hyper-infectious pathogens cause pandemics. Frequent, low cost and highly scalable   to results in minutes) and cost effective ( $3 per test). Note for data in RADx: Instructions for requesting individual-level data are available on","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002583.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid    Breathalyzer Diagnostics Platform for COVID-19","We propose to develop a novel testing platform that detects SARS-CoV-2 virions in a patient's breath. When a person exhales into the COVID breathalyzer, droplets and other emitted particles are  , and has accurate reporting with high sensitivity and specificity. Note for data in RADx: Instructions for requesting individual-level data are available","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002604.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Tracking the    COVID-19 Epidemic in Sewage (TRACES)","Wastewater based testing (WBT) holds great promise for cost-effective population surveillance and transmission tracking of SARS-CoV-2, but optimal sampling modalities and protocols are unknown. Taking advantage of a diverse inner   develop point-of-use microfluidics systems for timely WBT. Note for data in RADx: Instructions for requesting individual-level data are available on RADx","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002524.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Validation of    Smart Masks for Surveillance of COVID-19","Vulnerable populations do not just need testing - they need surveillance. The ideal surveillance tool would operate in the background with minimal involvement of the population to be tested; it  . Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002527.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Bioinformatics    Framework for Wastewater-based Surveillance of Infectious Diseases","COVID-19 is expected to become one of the largest mass casualty events in the history of the United States (U.S.). Assessment of the true burden of disease in the population   and how these burdens differ across communities. The goal of our proposed RADx-rad supplement is to implement and evaluate a near real-time WBE","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002570.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Multimodal    Platform for Oral Screening of COVID-19","This project will develop a multiplexed sensor platform based on nanomaterials capable of rapid simultaneous detection of multiple components of viral particles in a field-applicable electrochemical device. The device has   data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002572.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A SARS-CoV-2    Breathalyzer for Direct Virus Detection","A substantial and growing body of evidence has demonstrated that COVID-19 is transmitted by human-emitted airborne particles; therefore, it is critical to rapidly screen individuals to determine whether they are   bring the current COVID-19 pandemic under control before this SARS-CoV-2 breathalyzer is commercially available. Note for data in RADx: Instructions for","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002699.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): SCENTinel: A    Rapid Smell Test for COVID-19 Surveillance","Smell loss is a predominant symptom of COVID-19, and initial evidence based on self-reports suggests that chemosensory loss is a sensitive predictor of COVID-19 in the general population, more so   relation to a confirmed COVID-19 diagnosis, providing a crucially needed means to contain the spread of COVID-19. Note for data in RADx: Instructions for","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002542.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Wastewater    Assessment for Coronavirus in Kentucky: Implementing Enhanced    Surveillance Technology","Developing next generation technology to simplify wastewater RNA extraction and quantification will make wastewater surveillance feasible and scalable in facilities and rural communities. Wastewater testing for SARS-CoV-2 in rural communities  , and utility of wastewater surveillance for SARS-CoV-2 and identify community measures taken in response to test results. Note for data in RADx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002551.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Marshallese:    Alternate Surveillance for COVID-19 in a Unique Population","Marshallese Pacific Islanders bear a disproportionate burden of COVID-19 infection, hospitalization, and death, with rates 4 to 25 times higher than those of other US racial and ethnic groups in   populations. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002565.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad):    Touchscreen-Compatible, Real-Time Electrochemical Sensing of    SARS-CoV-2","We are developing an electrochemical assay for detecting SARS-CoV-2. We will be generating data that includes a signal for a given virus or spike (S) protein concentration, as well as  binding constants for molecular recognition agents. Note for data in RADx: Instructions for requesting individual-level data are available on RADx","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002689.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid Saliva    Antigen Test for SARs-CoV-2 Detection","The pandemic caused by COVID-19 has been associated with a very high disease burden as well as high global financial costs. With this pandemic came massive shut downs of both   proteins and developed the SARS-CoV-2 assays. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002523.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Multi-Modal    Wireless COVID Monitoring and Infection Alerts for Concentrated    Populations","We plan to extend and improve our COH/PHD system in using wearables for the early detection of COVID-19 infection. With the over 5,000 patients who have been recruited in our  ). Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002631.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Rapid Olfactory    Tools for Telemedicine-Friendly COVID-19 Screening and Survey","The COVID-19 pandemic is the most devastating infectious disease outbreak in a century, particularly in underserved and minoritized communities. In 2020 alone, it costed a million lives. It continues to   been traditionally underserved by the health care system and public health infrastructure. Note for data in RADx: Instructions for requesting individual","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002544.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): AFS/SERS    Saliva-Based SARS-CoV-2 Earliest Infection and Antibodies Detection","This U18 application is responsive to the NIH's RADx-rad Emergency Response to the COVID-pandemic for new or non-traditional technologies developed to single extracellular vesicle, exosome and extracellular RNA (exRNA) isolation   patients. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002573.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Detection and    Automatic Privacy-Protected Contact Tracing System Designed for    COVID-19","The goal of the project is to develop a pipeline for automatic detection and tracing of active SARS-CoV-2 infection in a cost-effective, highly accurate, real-time, portable, and super-encrypted manner. Our   transition and tracing system. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002700.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Nanobody-based    Electrochemical Biosensor for Real-Time Detection of Aerosolized    SARS-CoV2","Coronavirus 2019 (COVID-19) has afflicted 6.2 million Americans and killed 190,000 as of early September 2020 (WHO website); a roughly 3% mortality. Between a shortage in testing and unidentified asymptomatic   future pathogens, would enable us to limit the viral spread throughout the community in the current and future pandemics. Note for data in RADx","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002747.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): COVID-19    Detection through Scent Analysis with a Compact Gas Chromatography    Device","Recent studies, including ours, have suggested that a person's breath may used to diagnose COVID-19 infection and even to monitor its progress. In contrast to immunological and genetic based methods   analyses on up to 760 patients, and to identify and validate COVID-19 biomarkers in breath. Thus, in coordination with the RADx-rad Data Coordination Center","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002778.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Microfluidic    Isolation and Characterization of SARS-CoV-2 and Virus Related    Exosomes","Robust, efficient, and reliable testing for SARS-CoV-2 is extraordinarily challenging due to our lack of ultra-sensitive assays and constantly evolving knowledge of the virus. Standard PCR based assays still result   authorization of our test to be used in the clinic. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","HMB --- Health/medical/biomedical","2022-12-02","",""
"phs002964.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Longitudinal at    Home Smell Testing to Detect Infection by SARS-CoV-2","Self-report of sudden loss of smell or taste substantially increases the odds of being diagnosed with SARS-CoV-2. However, self-report of smell function is an unreliable predictor of smell loss. We   work, and instead seek an evaluation by a healthcare professional. Note for data in RADx: Instructions for requesting individual-level data are available","Not Applicable","COVID-19","Prospective Longitudinal Cohort","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002553.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Characterization    of Multisystem Inflammatory Syndrome in Children and its Relationship    to Kawasaki Disease","As the COVID-19 pandemic evolved in early 2020, case reports appeared describing children with unusual febrile illnesses with elevated inflammatory markers and multi-system involvement that is now termed Multisystem Inflammatory  -of-service RNA or antibody profiling with commercial partners. De-identified clinical and molecular data will be deposited in the RADx-rad hub to","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002561.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Rapid,    Sensitive, Point-of-Care, Antigen-Based Diagnostics for SARS-CoV-2","A rapid, sensitive, low-cost diagnostic device for early detection of novel Coronavirus Disease (COVID-19) could significantly change the paradigm in real-time and efficient management of patients and available healthcare resources,   cartridge. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002563.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Handheld    Microchip for GC Analysis of Breath to Screen for COVID-19","The COVID-19 pandemic has caused unprecedented societal suffering and economic disruption. Although current COVID-19 diagnostic testing technologies are critical for curbing the spread of the virus and preventing future outbreaks,   REACH program. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002602.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Virus Counter:    Rapid and Sensitive Diagnostics Based on Digital Detection of    Individual Pathogens","To help diversify the approaches that can be used to sensitively detect SARS-CoV-2 and improve response resilience, we will pivot an established virus detection system that has already shown the   instrument. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002642.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A    Confectionary-Based Screening Tool for Assessing Chemosensory Loss in    COVID-19 Patients","The goals of this Emergency Competitive Revision are to develop (Aim 1) and deploy (Aim 2) a novel, objective, psychophysical smell and taste screening test to detect the onset of   site to perform this urgent research. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002546.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Development of an    Automated Diagnostic Platform for SARS-CoV-2 Monitoring in Vulnerable    Areas","The devastation caused by emerging pathogens with fast transmission capacity, such as SARS-CoV-2, has demonstrated the importance of preparedness for future viral outbreaks; this includes the ability for fast deployment   may repeat over several decades, much like the occasional visits from the influenza virus, with varying degrees of virulence. Note for data in RADx","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002609.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Identifying    Biomarker Signatures of Prognostic Value for Multisystem Inflammatory    Syndrome in Children (MIS-C)","The purpose of this study is to develop a tool that can diagnose multisystem inflammatory syndrome in children (MIS-C.) Some children and young adults who have had Covid-19 develop this   others do not. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002744.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Rolosense: An    Innovative Platform for Automatic Mobile Phone Readout of Active    SARS-CoV-2","The ultimate goal of this proposal is to develop a novel platform technology for automatic surveillance and tracing of airborne SARS-CoV-2 virus particles in real time. The centerpiece of this   tracing needs. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002543.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Minimal    False-Alarm Touch-Based Detection of SARS-CoV-2 Virus Particles Using    Poly-Aptamers","Reliable real-time detection of SARS-CoV-2 virus represents a considerable challenge, with available tools requiring extensive sample preparation and/or expensive lab-based equipment to obtain accurate results. The objective in this proposal   innovations and the prior scientific and engineering accomplishments of the team. Note for data in RADx: Instructions for requesting individual-level data are","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002550.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Direct    Bioelectronic Detection of SARS-CoV-2 From Saliva Using Singlemolecule    Field-effect Transistor Array","Nucleic acid test-standard for diagnostics testing for COVID-19, usually performed in specialized laboratories. Most are based on reverse-transcription quantitative polymerase chain reaction (qRT-PCR). The time required for specimen transport and   diagnosis applications. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002702.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Scalable    Aptamer-Based Electrochemical Biosensor for Rapid Detection of    SARS-CoV-2 from Saliva","This study is designed to develop an aptamer-based electrochemical detection platform with SARS-CoV-2 as the model system to demonstrate its performance. As this study is a technology development, the data   prototype platform developed as a result of this technology-based development project supported by the NIH. Note for data in RADx: Instructions for requesting","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs003124.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Exosome-Based    Non-Traditional Technologies Towards Multi-Parametric and Integrated    Approaches for SARS-CoV-2","The urgent need to curb the spread of SARS-CoV-2 demands availability of diagnostics that are more rapid, accurate, sensitive and affordable than qPCR and antibody tests. Current qPCR tests are   testing of workers. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","HMB --- Health/medical/biomedical","2022-11-21","",""
"phs002657.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Early Detection,    Containment, and Management of COVID-19 in Dialysis Facilities Using    Multi-Modal Data Sources","With older age and multiple comorbidities, dialysis patients are at high risk for serious complications, even death, from COVID-19. There is a large disproportionate representation of minorities, especially Blacks and   the high-risk population. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002709.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Multiparametric    Integrated Molecular Detection of SARS-CoV-2 from Biofluids by    Adapting Single Extracellular Vesicle Characterization Technologies","COVID-19, a global pandemic due to its rapid progression, is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). There are different assays for COVID-19, including nucleic acid, serological,   nasopharyngeal secretions and saliva from COVID-19 patients. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002588.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Effective,    Reagent-Free Detection of the Odor Signature of COVID-19 Infection    Using a Nano-Enabled Sensor Array","COVID-19 presents a public health emergency. There is a critical need for rapid, not reagent intensive, non-invasive testing technologies. This program will lead to the production of a prototype system   clear the proposed COVID-19 testing device as Class I or Class II without reference to any predicate. Note for data in RADx: Instructions for requesting","Not Applicable","COVID-19","Collection","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002522.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): MOF-SCENT:    Metal-Organic Frameworks for Screening COVID-19 by Electronic-Nose    Technology to Improve Selectivity and Time Response","This proposal describes the design, fabrication, and proof-of-concept testing of a novel MOF-SCENT system (Metal-Organic Frameworks for Screening COVID-19 by Electronic-Nose Technology) that features the following advantages: (1) Highly selective   in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data access in","Not Applicable","COVID-19","Methods","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002549.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Severity    Predictors Using Immunology and Transcriptomics in Saliva Using Multi    Neural Network Intelligence in SARS-CoV2 Infection in Children (SPITS    MISC)","Children have been disproportionately less impacted by the Coronavirus Disease 2019 (COVID-19) caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SAR-CoV-2) compared to adults. However, severe illnesses including Multisystem   appropriate resource allocation during the pandemic. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002569.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): COVID-19 Network    of Networks Expanding Clinical and Translational Approaches to Predict    Severe Illness in Children (CONNECT to Predict SIck Children)","This study's objective is to understand which children are at the highest risk for experiencing severe consequences from SARS-CoV-2 infection. The study will use clinical, epidemiologic, and sociodemographic data, alongside   for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply for data","Not Applicable","COVID-19","Case-Control","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002781.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Discovery and    Clinical Validation of Host Biomarkers of Disease Severity and    Multi-system Inflammatory Syndrome in Children (MIS-C) and COVID-19","SARS-CoV-2 infection exhibits a wide range of clinical outcomes in both children and adults, from asymptomatic and mild disease to severe viral pneumonia, ARDS, acute kidney injury, thrombotic disorders, and   (EUA). Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov/home. Apply","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002924.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Broad-Spectrum    Detection of VOC and Non-VOC Biomarkers from Patient Exhalant Using a    Biomimetic Multiplexed eNose Biosensor for COVID 19 Diagnosis","This project will develop biomimetic olfaction-based and gustation-based sensors for detecting volatile organic compound (VOC) biomarkers against SARS-CoV-2. We employ a computational design to deduce sets of odorant binding peptide   test for SARS-CoV-2 based on direct exhaled breath. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002729.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): Improved    Scalability, Sensitivity, and Interpretability of Pathogen Detection,    Including SARS-CoV-2, in Wastewater using High-Throughput, Highly    Multiplexed Digital Array PCR Technology","Presently, the application of molecular technologies, such as, RT-qPCR and digital PCR (dPCR) to quantify SARS-CoV-2 and related targets in wastewater is cumbersome, time consuming, and costly. While progress has   pathogen threats in the future. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx","Not Applicable","COVID-19","Case Set","Not Provided","Not Provided","","","OD","GRU --- General research use","2022-12-02","",""
"phs002945.v1.p1","Rapid Acceleration of Diagnostics - Radical (RADx-rad): A Data Science    Approach to Identify and Manage Multisystem Inflammatory Syndrome in    Children (MIS-C) Associated with SARS-CoV-2 Infection and Kawasaki    Disease in Pediatric Patients","The primary objective of this study was to design and validate a predictive decision support system for the identification, treatment, and management of SARS-CoV-2 associated with multisystem inflammatory syndrome in   part of this study. Note for data in RADx: Instructions for requesting individual-level data are available on RADx Data Hub at https://radx-hub.nih.gov","Not Applicable","COVID-19","Cross-Sectional","Not Provided","Not Provided","","","OD","GRU --- General research use, GRU-IRB --- General research use (irb)","2022-12-02","",""
